DN;NPS;OD_mm;OD_mm;Thickness_mm;ID_mm
6;0,125;10,3;10,3;1,73;6,84
8;0,125;13,7;13,7;2,24;9,22
10;0,375;17,1;17,1;2,31;12,48
15;0,5;21,3;21,3;2,77;15,76
20;0,5;26,7;26,7;2,87;20,96
25;1;33,4;33,4;3,38;26,64
32;1,25;42,2;42,2;3,56;35,08
40;1,5;48,3;48,3;3,68;40,94
50;2;60,3;60,3;3,91;52,48
65;2,5;73;73;5,16;62,68
80;3;88,9;88,9;5,49;77,92
90;3,5;101,6;101,6;5,74;90,12
100;4;114,3;114,3;6,02;102,26
125;5;141,3;141,3;6,55;128,2
150;6;168,3;168,3;7,11;154,08
200;8;219,1;219,1;8,18;202,74
250;10;273;273;9,27;254,46
300;12;323,8;323,8;10,31;303,18
350;14;355,6;355,6;11,13;333,34
400;16;406,4;406,4;12,7;381
450;18;457;457;14,27;428,46
500;20;508;508;15,09;477,82
600;24;610;610;17,48;575,04
800;32;813;813;17,48;778,04
850;34;864;864;17,48;829,04
900;36;914;914;19,05;875,9
