DN;NPS;OD_mm;Thickness_mm;ID_mm
6;0,125;10,3;1,24;7,82
8;0,125;13,7;1,65;10,4
10;0,375;17,1;1,65;13,8
15;0,5;21,3;2,11;17,08
20;0,5;26,7;2,11;22,48
25;1;33,4;2,77;27,86
32;1,25;42,2;2,77;36,66
40;1,5;48,3;2,77;42,76
50;2;60,3;2,77;54,76
65;2,5;73;3,05;66,9
80;3;88,9;3,05;82,8
90;3,5;101,6;3,05;95,5
100;4;114,3;3,05;108,2
125;5;141,3;3,4;134,5
150;6;168,3;3,4;161,5
200;8;219,1;3,76;211,58
250;10;273;4,19;264,62
300;12;323,8;4,57;314,66
350;14;355,6;6,35;342,9
400;16;406,4;6,35;393,7
450;18;457;6,35;444,3
500;20;508;6,35;495,3
550;22;559;6,35;546,3
600;24;610;6,35;597,3
650;26;660;7,92;644,16
700;28;711;7,92;695,16
750;30;762;7,92;746,16
800;32;813;7,92;797,16
850;34;864;7,92;848,16
900;36;914;7,92;898,16
